Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src
lindt-extra-creamy-milk-chocolate,Lindt Extra Creamy Milk Chocolate,"80G
",Candyshop,General,"General, Imported",TRUE,Title,Default Title,80,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1761913778-Lindt Extra Creamy Milk Chocolate 80G.jpg?q=10
lindt-swiss-classic-whole-almond-chocolate,Lindt Swiss Classic Whole Almond Chocolate,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1750128026-Lindt Swiss Classic Whole Almond Chocolate 100g.webp?q=10
tim-hortons-double-chocolate-granola-bar,Tim Hortons Double chocolate Granola Bar,30g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,30,shopify,100,deny,manual,590,TRUE,TRUE,https://assets.indolj.io/upload/1771313623-Tim Hortons Double chococlate Granola Bar 30g.jfif?q=10
nestle-kitkat-chunky-cookies-crumble,Nestle Kitkat Chunky Cookies Crumble,38gm,Candyshop,General,"General, Imported",TRUE,Title,Default Title,38,shopify,100,deny,manual,650,TRUE,TRUE,https://assets.indolj.io/upload/1771873039-Chocolate.jfif?q=10
kernelpop-choco-banana-wafer-roll,Kernelpop Choco Banana Wafer Roll,80g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,80,shopify,100,deny,manual,230,TRUE,TRUE,https://assets.indolj.io/upload/1772523326-KernelpopChocoBananaWaferRoll80g.jfif?q=10
dairy-milk,Dairy Milk,90g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,90,shopify,100,deny,manual,430,TRUE,TRUE,https://assets.indolj.io/upload/1761914033-DairyMilk 90g.jpg?q=10
lindt-swiss-classic-raisins-roasted-hazelnut-almond-chocolate,Lindt Swiss Classic Raisins Roasted hazelnut & Almond Chocolate,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1750128013-Lindt Swiss Classic Raisins Roasted hazelnut Almond Chocolate 100g?q=10
tim-hortons-cafe-mocha-granola-bar,Tim Hortons Cafe Mocha Granola Bar,30g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,30,shopify,100,deny,manual,590,TRUE,TRUE,https://assets.indolj.io/upload/1771313646-Tim Hortons Cafe Mocha Granola Bar 30g.jfif?q=10
nestle-kitkat-chunky,Nestle Kitkat Chunky,38gm,Candyshop,General,"General, Imported",TRUE,Title,Default Title,38,shopify,100,deny,manual,650,TRUE,TRUE,https://assets.indolj.io/upload/1771873074-NestleKitkatChunky38gm.png?q=10
dairy-milk-hazelnut,Dairy Milk Hazelnut,135G,Candyshop,General,"General, Imported",TRUE,Title,Default Title,135,shopify,100,deny,manual,1290,TRUE,TRUE,https://assets.indolj.io/upload/1761914123-Dairy Milk Hazulnut 165g.jpg?q=10
lindt-exc-dark-70,Lindt Exc Dark 70%,35g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,35,shopify,100,deny,manual,1190,TRUE,TRUE,https://assets.indolj.io/upload/1771313835-Lindt Exc Dark 70 35g.jfif?q=10
lindt-leche-milk-choco-bar,Lindt Leche Milk Choco Bar,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1771873116-LindtLecheMilkChocoBar100g.jfif?q=10
lindt-swiss-classic-roasted-almond-chocolate,Lindt Swiss Classic Roasted Almond Chocolate,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1750127990-Lindt Swiss Classic Roasted Almond Chocolate 100g.webp?q=10
lindt-exc-78,Lindt Exc 78%,100gm,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2500,TRUE,TRUE,https://assets.indolj.io/upload/1771313902-Lindt Exc 78 100gm.jfif?q=10
lindt-hezalnut-choco-bar,Lindt Hezalnut Choco Bar,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1771873170-LindtHezalnutChocoBar100g.jfif?q=10
mm-crispy-pouch,M&M Crispy Pouch,36g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,36,shopify,100,deny,manual,540,TRUE,TRUE,https://assets.indolj.io/upload/1732512969-Crispy.png?q=10
reeses-peanut-butter-thins-minces-pouch,Reeses Peanut Butter Thins Minces Pouch,87g ,Candyshop,General,"General, Imported",TRUE,Title,Default Title,87,shopify,100,deny,manual,2550,TRUE,TRUE,https://assets.indolj.io/upload/1771313945-Reeses Peanut Butter Thins Minces Pouch 87g.jfif?q=10
lindt-caramelo-choco-bar,Lindt Caramelo Choco Bar,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1771873228-LindtCarameloChocoBar100g.jfif?q=10
lindt-swiss-classic-roasted-hazelnuts-chocolate,Lindt Swiss Classic Roasted hazelnuts Chocolate,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1750127983-Lindt Swiss Classic Roasted hazelnuts Chocolate 100g.webp?q=10
after-eight,After Eight,200g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,200,shopify,100,deny,manual,3250,TRUE,TRUE,https://assets.indolj.io/upload/1771313979-After Eight 200g.jfif?q=10
lindt-leche-original-milk-choco-bar,Lindt Leche Original Milk Choco Bar,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1771873284-LindtLecheOriginalMilkChocoBar100g.jfif?q=10
maltesers-pouch,Maltesers Pouch,37g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,37,shopify,100,deny,manual,750,TRUE,TRUE,https://assets.indolj.io/upload/1732513067-Maltesers Pouch.jpg?q=10
lindt-excellence-fusion-75-white-blanc,Lindt Excellence fusion 75% & White Blanc,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2500,TRUE,TRUE,https://assets.indolj.io/upload/1771314049-Lindt Excellence fusion 75 White Blanc 100g.jfif?q=10
cadbury-dairymilk-fruitnut,Cadbury DairyMilk Fruit&Nut,180g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,180,shopify,100,deny,manual,2540,TRUE,TRUE,https://assets.indolj.io/upload/1771873357-CadburyDairyMilkFruitNut180g.jfif?q=10
mm-chocolate-pouch,M&M Chocolate Pouch,45g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,45,shopify,100,deny,manual,460,TRUE,TRUE,https://assets.indolj.io/upload/1732513143-Chocolate Pouch.jpg?q=10
lindt-lindor-assorted-balls,Lindt Lindor Assorted Balls,36g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,36,shopify,100,deny,manual,1500,TRUE,TRUE,https://assets.indolj.io/upload/1771314083-Lindt Lindor Assorted Balls 36g.jfif?q=10
cadbury-dairymilk-caramel,Cadbury DairyMilk Caramel,180g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,180,shopify,100,deny,manual,2540,TRUE,TRUE,https://assets.indolj.io/upload/1771873422-CadburyDairyMilkCaramel180g.jfif?q=10
dairy-milk,Dairy Milk,"135G
",Candyshop,General,"General, Imported",TRUE,Title,Default Title,135,shopify,100,deny,manual,1290,TRUE,TRUE,https://assets.indolj.io/upload/1761914224-Dairy Milk 165g.jpg?q=10
lindt-swiss-classic-swiss-dark-chocolate,Lindt Swiss Classic Swiss Dark Chocolate,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1750127973-Lindt Swiss Classic Swiss Dark Chocolate 100g.webp?q=10
lindt-lindor-milk-balls,Lindt Lindor Milk Balls,36g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,36,shopify,100,deny,manual,1500,TRUE,TRUE,https://assets.indolj.io/upload/1771314128-Lindt Lindor Milk Balls 36g.jfif?q=10
